"Parameter","Treatment","DoC","Mean","Tukey_Letter","ANOVA_p"
"DO","ABC",30,5.53333333333333,"a",0.000132603359670261
"DO","ABC",60,4.15,"b",0.000132603359670261
"DO","ABC",90,3.87333333333333,"d",0.000132603359670261
"DO","ABC",120,4.06666666666667,"c",0.000132603359670261
"DO","ABC",150,3.54666666666667,"e",0.000132603359670261
"DO","ABC",180,3.45333333333333,"f",0.000132603359670261
"DO","BC",30,5.7,"a",0.000382805312721496
"DO","BC",60,4.275,"e",0.000382805312721496
"DO","BC",90,3.99,"f",0.000382805312721496
"DO","BC",120,5.4,"b",0.000382805312721496
"DO","BC",150,4.99666666666667,"c",0.000382805312721496
"DO","BC",180,4.995,"d",0.000382805312721496
"DO","BCP",30,5.26666666666667,"b",0.0191312188240661
"DO","BCP",60,4.15,"e",0.0191312188240661
"DO","BCP",90,4.02,"f",0.0191312188240661
"DO","BCP",120,5.70666666666667,"a",0.0191312188240661
"DO","BCP",150,5.02,"c",0.0191312188240661
"DO","BCP",180,4.89666666666667,"d",0.0191312188240661
"DO","BCS",30,5.5,"a",0.000107332264707176
"DO","BCS",60,4.075,"e",0.000107332264707176
"DO","BCS",90,3.85,"f",0.000107332264707176
"DO","BCS",120,5.11333333333333,"b",0.000107332264707176
"DO","BCS",150,4.84,"d",0.000107332264707176
"DO","BCS",180,4.84333333333333,"c",0.000107332264707176
"DO","IMTA",30,5.53333333333333,"a",0.00490808223119725
"DO","IMTA",60,4.23166666666667,"e",0.00490808223119725
"DO","IMTA",90,3.97333333333333,"f",0.00490808223119725
"DO","IMTA",120,5.28,"b",0.00490808223119725
"DO","IMTA",150,5.04333333333333,"c",0.00490808223119725
"DO","IMTA",180,4.98166666666667,"d",0.00490808223119725
"DO","PO",30,5.16666666666667,"b",0.016418466369026
"DO","PO",60,3.875,"e",0.016418466369026
"DO","PO",90,3.61666666666667,"f",0.016418466369026
"DO","PO",120,5.23333333333333,"a",0.016418466369026
"DO","PO",150,4.81333333333333,"c",0.016418466369026
"DO","PO",180,4.68666666666667,"d",0.016418466369026
"Salinity","ABC",30,5.03333333333333,"b",6.09333626765326e-15
"Salinity","ABC",60,3.64333333333333,"c",6.09333626765326e-15
